iter	RMSE
0	0.0002454354285
1	0.0002243041753
2	0.0002172761346
3	0.0002134884553
4	0.0002100113125
5	0.000205466768
6	0.000203124937
7	0.0001997228176
8	0.000196645416
9	0.0001942632726
10	0.0001917585611
11	0.0001895673376
12	0.0001876888287
13	0.0001847383759
14	0.0001830052571
15	0.0001813894204
16	0.00017909023
17	0.0001778804645
18	0.000176048803
19	0.0001752675553
20	0.0001741145401
21	0.0001722698706
22	0.0001708516322
23	0.0001701322474
24	0.000168530063
25	0.0001673910728
26	0.0001662183198
27	0.0001650468218
28	0.0001637880445
29	0.0001630512453
30	0.0001620527349
31	0.0001610856862
32	0.0001600267269
33	0.0001595606721
34	0.0001583306884
35	0.0001575612613
36	0.0001561952855
37	0.0001551497424
38	0.0001537497065
39	0.0001525845694
40	0.0001520114999
41	0.0001513100745
42	0.0001507098697
43	0.0001499695758
44	0.0001492467717
45	0.0001484186582
46	0.0001477452241
47	0.0001471174637
48	0.0001465704216
49	0.0001460483226
50	0.0001456370235
51	0.0001451374706
52	0.0001445730342
53	0.0001436740164
54	0.0001430005905
55	0.0001425633349
56	0.0001419967422
57	0.000141503453
58	0.0001410540799
59	0.0001406212744
60	0.0001401427322
61	0.0001395334874
62	0.0001388971862
63	0.0001382897971
64	0.0001377487176
65	0.0001373777571
66	0.000136903622
67	0.0001363992312
68	0.000135897181
69	0.0001354849514
70	0.0001348713784
71	0.0001340489902
72	0.0001333962861
73	0.0001331206098
74	0.0001326281949
75	0.0001320565339
76	0.0001316017722
77	0.000131115972
78	0.000130555806
79	0.0001302362959
80	0.0001297357246
81	0.0001293017979
82	0.0001289162125
83	0.0001283108613
84	0.0001278699931
85	0.0001275127648
86	0.0001271640882
87	0.000126595801
88	0.0001261113974
89	0.0001257984245
90	0.0001254045924
91	0.0001251394549
92	0.0001247874079
93	0.0001245222537
94	0.0001240751917
95	0.0001237724088
96	0.0001233872197
97	0.0001229074851
98	0.0001226008366
99	0.0001223651171
100	0.0001220854961
101	0.0001218329734
102	0.0001215327654
103	0.0001211486882
104	0.0001208220429
105	0.0001205651575
106	0.0001201700069
107	0.0001198017529
108	0.0001194993139
109	0.0001191650637
110	0.0001189202577
111	0.0001187191878
112	0.0001186406212
113	0.000118368851
114	0.0001183313125
115	0.00011812691
116	0.0001177360214
117	0.0001173953417
118	0.0001171795964
119	0.0001168068832
120	0.0001164939198
121	0.0001162351802
122	0.0001159597253
123	0.0001156841525
124	0.0001152337637
125	0.000114938609
126	0.0001146856765
127	0.0001144482914
128	0.0001141450749
129	0.00011389764
130	0.0001136559447
131	0.0001134296482
132	0.0001131354725
133	0.0001128504255
134	0.0001126005484
135	0.0001123682029
136	0.000112052757
137	0.000111814337
138	0.0001116065601
139	0.0001112753301
140	0.0001111682141
141	0.0001108719683
142	0.0001106191161
143	0.0001104038785
144	0.0001101191257
145	0.0001097884149
146	0.0001095211774
147	0.0001093100342
148	0.0001090952523
149	0.0001088225816
150	0.0001085102086
151	0.0001082488281
152	0.0001079990324
153	0.0001077290383
154	0.0001075305693
155	0.0001073479731
156	0.0001071102123
157	0.0001069554732
158	0.0001066331506
159	0.0001063736392
160	0.0001061215935
161	0.0001059116412
162	0.0001056884081
163	0.0001054302689
164	0.0001052333209
165	0.0001050143512
166	0.0001048102078
167	0.0001045058067
168	0.0001042772672
169	0.000103965596
170	0.0001037649058
171	0.0001034762079
172	0.0001032923621
173	0.0001030251354
174	0.0001028384715
175	0.0001026385929
176	0.0001024940038
177	0.000102380035
178	0.0001021793864
179	0.0001019293141
180	0.0001015397483
181	0.000101390206
182	0.0001012358661
183	0.0001009374473
184	0.0001006319981
185	0.0001004435138
186	0.0001002526279
187	0.0001001084269
188	9.991734107e-05
189	9.966048502e-05
190	9.948778579e-05
191	9.920782634e-05
192	9.902745443e-05
193	9.882148841e-05
194	9.86115405e-05
195	9.839526416e-05
196	9.822063064e-05
197	9.79371784e-05
198	9.777309796e-05
199	9.754690554e-05
