ID,datetime,Predict
0,2013-07-24 00:00:00,221.2894495094814
1,2013-07-24 01:00:00,196.1362190738847
2,2013-07-24 02:00:00,216.69828856093778
3,2013-07-24 03:00:00,194.81692803647033
4,2013-07-24 04:00:00,247.37154406965405
5,2013-07-24 05:00:00,222.84950025281321
6,2013-07-24 06:00:00,219.83456048607465
7,2013-07-24 07:00:00,239.00619964684185
8,2013-07-24 08:00:00,245.8872332867066
9,2013-07-24 09:00:00,229.55453277037222
10,2013-07-24 10:00:00,257.1067475048022
11,2013-07-24 11:00:00,244.15460805527314
12,2013-07-24 12:00:00,234.1645660784483
13,2013-07-24 13:00:00,262.2203279885338
14,2013-07-24 14:00:00,253.1914387767937
15,2013-07-24 15:00:00,254.26367083100882
16,2013-07-24 16:00:00,266.9525804245752
17,2013-07-24 17:00:00,253.47556391552152
18,2013-07-24 18:00:00,242.8249296461024
19,2013-07-24 19:00:00,238.88137314217354
20,2013-07-24 20:00:00,278.39381782674394
21,2013-07-24 21:00:00,244.06925380519243
22,2013-07-24 22:00:00,254.85049433025776
23,2013-07-24 23:00:00,280.0405910132322
24,2013-07-25 00:00:00,237.54451878635058
25,2013-07-25 01:00:00,266.52336966098306
26,2013-07-25 02:00:00,263.8716082280607
27,2013-07-25 03:00:00,270.60639702234255
28,2013-07-25 04:00:00,240.50443989639078
29,2013-07-25 05:00:00,233.43528948269704
30,2013-07-25 06:00:00,243.93282419047557
31,2013-07-25 07:00:00,245.71390199625299
32,2013-07-25 08:00:00,231.26212897346258
33,2013-07-25 09:00:00,216.71577929920062
34,2013-07-25 10:00:00,239.9716706527717
35,2013-07-25 11:00:00,225.2691098369293
36,2013-07-25 12:00:00,220.02430786860677
37,2013-07-25 13:00:00,221.01046998963642
38,2013-07-25 14:00:00,222.32987139284788
39,2013-07-25 15:00:00,213.4730150359458
40,2013-07-25 16:00:00,211.190915475942
41,2013-07-25 17:00:00,211.76675752044042
42,2013-07-25 18:00:00,209.6016947010428
43,2013-07-25 19:00:00,222.4224656493812
