ID,datetime,Predict
0,2013-07-24 00:00:00,214.3543484119517
1,2013-07-24 01:00:00,192.16074645329763
2,2013-07-24 02:00:00,209.68150817558376
3,2013-07-24 03:00:00,190.8011209163447
4,2013-07-24 04:00:00,240.99859655535215
5,2013-07-24 05:00:00,219.87955260520556
6,2013-07-24 06:00:00,216.26241346429578
7,2013-07-24 07:00:00,233.11273317825925
8,2013-07-24 08:00:00,238.69790482640155
9,2013-07-24 09:00:00,224.7455213069358
10,2013-07-24 10:00:00,249.00978789265656
11,2013-07-24 11:00:00,237.99540472031669
12,2013-07-24 12:00:00,228.59542187491195
13,2013-07-24 13:00:00,251.82626575635416
14,2013-07-24 14:00:00,244.95238830171726
15,2013-07-24 15:00:00,245.9807197988554
16,2013-07-24 16:00:00,257.4879287779106
17,2013-07-24 17:00:00,246.31953381917708
18,2013-07-24 18:00:00,238.82145815151378
19,2013-07-24 19:00:00,235.51233142742828
20,2013-07-24 20:00:00,268.2226886065259
21,2013-07-24 21:00:00,238.73515859197545
22,2013-07-24 22:00:00,246.69561402028296
23,2013-07-24 23:00:00,268.86701568685413
24,2013-07-25 00:00:00,229.32154815999684
25,2013-07-25 01:00:00,252.4059222696003
26,2013-07-25 02:00:00,252.79709745304172
27,2013-07-25 03:00:00,257.9704683947284
28,2013-07-25 04:00:00,233.15305676335674
29,2013-07-25 05:00:00,227.08512477011575
30,2013-07-25 06:00:00,236.18534758975375
31,2013-07-25 07:00:00,238.5998243617642
32,2013-07-25 08:00:00,226.5914564513518
33,2013-07-25 09:00:00,213.22590871518483
34,2013-07-25 10:00:00,232.15969955677792
35,2013-07-25 11:00:00,218.5610494462776
36,2013-07-25 12:00:00,213.80445556323943
37,2013-07-25 13:00:00,215.44805215760815
38,2013-07-25 14:00:00,215.97194687866207
39,2013-07-25 15:00:00,209.48766911149008
40,2013-07-25 16:00:00,208.15863308375836
41,2013-07-25 17:00:00,208.61417150799682
42,2013-07-25 18:00:00,206.2377623428359
43,2013-07-25 19:00:00,220.1762797300554
44,2013-07-25 20:00:00,224.84984033730112
45,2013-07-25 21:00:00,242.11113814555884
